efficiencySum	efficiencyAvg	efficiencyMax	effectiveSizeSum	effectiveSizeAvg	effectiveSizeMax	constraintSum	constraintAvg	constraintMax	hierarchySum	hierarchyAvg	hierarchyMax	class
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
2,76496002	0,691240005	0,862442189	114,441148	28,61028701	52,60897351	1,704892134	0,426223034	0,600973876	1,671628104	0,417907026	0,669259145	strong
1,862442189	0,931221094	1	53,60897351	26,80448676	52,60897351	1,363524691	0,681762345	1	1,669259145	0,834629572	1	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
4,181534059	0,696922343	0,862442189	124,3937006	20,73228343	52,60897351	3,075794587	0,512632431	0,700618246	2,817763882	0,469627314	0,775513652	strong
3,434775785	0,572462631	0,816790044	86,07243344	14,34540557	36,75555198	2,833344397	0,472224066	0,588662036	1,987433591	0,331238932	0,529863911	strong
1,523946244	0,761973122	0,816790044	51,60583218	25,80291609	36,75555198	0,630724378	0,315362189	0,362503473	0,992907186	0,496453593	0,529863911	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
5,618404065	0,624267118	0,862442189	146,0631819	16,22924243	52,60897351	4,348359631	0,48315107	0,822528879	4,0835139	0,453723767	0,745678316	strong
3,434775785	0,572462631	0,816790044	86,07243344	14,34540557	36,75555198	2,833344397	0,472224066	0,588662036	1,987433591	0,331238932	0,529863911	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
1,74138505	0,870692525	0,949656224	19,63320141	9,816600707	15,83457652	0,88599963	0,442999815	0,534370503	1,011283073	0,505641536	0,626167963	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
6,699464451	0,837433056	1	118,8044252	14,85055315	52,60897351	4,859646565	0,607455821	1	5,404781553	0,675597694	1	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
2,872059144	0,574411829	0,862442189	93,89550925	18,77910185	52,60897351	2,719080979	0,543816196	0,822528879	2,600744618	0,520148924	0,745678316	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
1,390317195	0,695158598	0,752394454	30,45584995	15,22792497	24,07662254	1,065697298	0,532848649	0,687807205	1,24723878	0,62361939	0,775513652	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
3,402736171	0,567122695	0,862442189	109,8579776	18,30966293	52,60897351	2,428013507	0,404668918	0,450118738	1,627936506	0,271322751	0,669259145	strong
6,490951197	0,8113689	1	125,3977648	15,6747206	52,60897351	4,190001974	0,523750247	1	4,218590895	0,527323862	1	strong
